Number,Name,Run,Speed,Splits,Orig_Split_1_Time,Orig_Split_2_Time,Orig_Split_3_Time,Orig_Split_4_Time,Orig_Split_5_Time,Clean_Split_1_Time,Clean_Split_2_Time,Clean_Split_3_Time,Clean_Split_4_Time,Clean_Split_5_Time,Sector_Times,Sector_1_Time,Sector_2_Time,Sector_3_Time,Sector_4_Time,Sector_5_Time,Split_1_Rank,Split_2_Rank,Split_3_Rank,Split_4_Rank,Split_5_Rank,Sector_1_Rank,Sector_2_Rank,Sector_3_Rank,Sector_4_Rank,Sector_5_Rank,Speed_Rank,Cumulative_from_Split_1_Time,Cumulative_from_Split_2_Time,Cumulative_from_Split_3_Time,Cumulative_from_Split_4_Time,Cumulative_from_Split_1_Rank,Cumulative_from_Split_2_Rank,Cumulative_from_Split_3_Rank,Cumulative_from_Split_4_Rank
107,SOUSA Rafael,1,42.908,"['0:52.207', '5:26.989', '6:06.689', '6:41.058', '7:09.071']",0:52.207,5:26.989,6:06.689,6:41.058,7:09.071,52.207,326.989,366.689,401.058,429.071,"[52.207, 274.782, 39.700000000000045, 34.36899999999997, 28.013000000000034]",52.207,274.782,39.700000000000045,34.36899999999997,28.013000000000034,249,217,174,174,171,249,222,173,258,255,172,376.86400000000003,102.08200000000005,62.382000000000005,28.013000000000034,173,169,245,255
107,SOUSA Rafael,2,42.254,"['0:52.412', '4:57.488', '5:37.194', '6:11.476', '6:37.809']",0:52.412,4:57.488,5:37.194,6:11.476,6:37.809,52.412,297.488,337.194,371.476,397.80899999999997,"[52.412, 245.076, 39.70600000000002, 34.28199999999998, 26.33299999999997]",52.412,245.076,39.70600000000002,34.28199999999998,26.33299999999997,256,194,155,156,155,256,199,174,254,144,231,345.397,100.32099999999997,60.61499999999995,26.33299999999997,157,150,200,144
107,SOUSA Rafael,3,41.983,"['0:51.567', '5:00.202', '7:43.412', '8:17.128', '8:43.036', '6:37.809', '6:37.809', '6:37.809', '6:37.809']",0:51.567,5:00.202,7:43.412,8:17.128,8:43.036,51.567,300.202,463.412,497.128,523.0360000000001,"[51.567, 248.635, 163.20999999999998, 33.71600000000001, 25.908000000000072, -125.22700000000009, 0.0, 0.0, 0.0]",51.567,248.635,163.20999999999998,33.71600000000001,25.908000000000072,226,196,211,206,200,226,203,248,223,115,250,471.46900000000005,222.83400000000006,59.62400000000008,25.908000000000072,206,230,160,115
42,JEWETT Jakob *,1,42.378,"['0:50.818', '5:14.115', '5:53.646', '6:27.177', '6:55.885']",0:50.818,5:14.115,5:53.646,6:27.177,6:55.885,50.818,314.115,353.646,387.177,415.885,"[50.818, 263.297, 39.531000000000006, 33.531000000000006, 28.70799999999997]",50.818,263.297,39.531000000000006,33.531000000000006,28.70799999999997,177,206,166,166,165,177,214,165,212,276,220,365.067,101.76999999999998,62.238999999999976,28.70799999999997,167,164,239,276
42,JEWETT Jakob *,2,44.064,"['0:50.480', '4:58.428', '5:37.430', '6:10.046', '6:40.009', '6:40.009', '6:40.009', '6:40.009', '6:40.009']",0:50.480,4:58.428,5:37.430,6:10.046,6:40.009,50.48,298.428,337.43,370.046,400.009,"[50.48, 247.948, 39.00200000000001, 32.615999999999985, 29.963000000000022, 0.0, 0.0, 0.0, 0.0]",50.48,247.948,39.00200000000001,32.615999999999985,29.963000000000022,165,195,156,155,157,165,202,143,117,292,72,349.529,101.58100000000002,62.57900000000001,29.963000000000022,159,160,251,292
42,JEWETT Jakob *,3,0.0,[],,,,,,,,,,,"[None, None, None, None, None]",,,,,,343,343,342,341,327,343,343,342,341,327,343,,,,,327,327,327,327
96,WILLIAMSON Matthew Luke *,1,43.61,"['0:49.735', '6:19.642', '6:58.830', '7:31.623', '7:58.977']",0:49.735,6:19.642,6:58.830,7:31.623,7:58.977,49.735,379.642,418.83,451.623,478.977,"[49.735, 329.907, 39.18799999999999, 32.793000000000006, 27.353999999999985]",49.735,329.907,39.18799999999999,32.793000000000006,27.353999999999985,106,245,193,190,185,106,253,153,131,226,108,429.24199999999996,99.33499999999998,60.14699999999999,27.353999999999985,188,136,188,226
96,WILLIAMSON Matthew Luke *,2,43.011,"['2:18.173', '5:07.458', '6:06.957', '6:40.273', '7:08.394']",2:18.173,5:07.458,6:06.957,6:40.273,7:08.394,138.173,307.458,366.957,400.273,428.394,"[138.173, 169.28500000000003, 59.49899999999997, 33.31600000000003, 28.12099999999998]",138.173,169.28500000000003,59.49899999999997,33.31600000000003,28.12099999999998,313,203,175,173,170,313,142,211,181,260,160,290.221,120.93599999999998,61.43700000000001,28.12099999999998,131,198,225,260
96,WILLIAMSON Matthew Luke *,3,44.499,"['0:50.414', '5:12.213', '5:50.218', '6:22.450', '6:47.475', '6:47.475', '6:47.475', '6:47.475', '6:47.475']",0:50.414,5:12.213,5:50.218,6:22.450,6:47.475,50.414,312.213,350.218,382.45,407.475,"[50.414, 261.79900000000004, 38.004999999999995, 32.23199999999997, 25.025000000000034, 0.0, 0.0, 0.0, 0.0]",50.414,261.79900000000004,38.004999999999995,32.23199999999997,25.025000000000034,158,204,163,164,159,158,212,95,80,52,43,357.06100000000004,95.262,57.257000000000005,25.025000000000034,163,57,47,52
132,MCELYEA Colin *,1,41.499,"['0:53.052', '6:40.807', '7:19.684', '7:53.704', '8:22.095']",0:53.052,6:40.807,7:19.684,7:53.704,8:22.095,53.052,400.807,439.684,473.704,502.095,"[53.052, 347.755, 38.87700000000001, 34.01999999999998, 28.39100000000002]",53.052,347.755,38.87700000000001,34.01999999999998,28.39100000000002,273,254,201,197,196,273,260,136,246,268,264,449.043,101.28800000000001,62.411,28.39100000000002,195,159,246,268
132,MCELYEA Colin *,2,40.655,"['0:52.108', '5:07.106', '5:45.676', '6:20.517', '6:49.368', '6:49.368', '6:49.368', '6:49.368', '6:49.368']",0:52.108,5:07.106,5:45.676,6:20.517,6:49.368,52.108,307.106,345.676,380.517,409.368,"[52.108, 254.998, 38.56999999999999, 34.84100000000001, 28.851, 0.0, 0.0, 0.0, 0.0]",52.108,254.998,38.56999999999999,34.84100000000001,28.851,244,201,160,161,161,244,208,121,276,280,292,357.26,102.262,63.69200000000001,28.851,164,172,266,280
132,MCELYEA Colin *,3,0.0,[],,,,,,,,,,,"[None, None, None, None, None]",,,,,,343,343,342,341,327,343,343,342,341,327,343,,,,,327,327,327,327
126,WILSON Reece,1,43.478,"['0:50.586', '5:42.373', '6:19.997', '6:52.566', '7:19.027']",0:50.586,5:42.373,6:19.997,6:52.566,7:19.027,50.586,342.373,379.997,412.56600000000003,439.027,"[50.586, 291.787, 37.624000000000024, 32.56900000000002, 26.460999999999956]",50.586,291.787,37.624000000000024,32.56900000000002,26.460999999999956,169,234,184,180,177,169,239,80,114,158,118,388.441,96.654,59.02999999999997,26.460999999999956,178,82,127,158
126,WILSON Reece,2,31.075,"['0:49.768', '4:33.287', '5:58.258', '7:09.840', '7:56.789']",0:49.768,4:33.287,5:58.258,7:09.840,7:56.789,49.768,273.287,358.258,429.84,476.789,"[49.768, 223.51899999999998, 84.971, 71.582, 46.94900000000001]",49.768,223.51899999999998,84.971,71.582,46.94900000000001,108,178,168,184,183,108,184,227,314,311,324,427.02099999999996,203.502,118.531,46.94900000000001,186,223,305,311
126,WILSON Reece,3,38.898,"['0:49.596', '2:44.535', '6:06.263', '6:43.370', '7:16.047', '7:16.047', '7:16.047', '7:16.047', '7:16.047']",0:49.596,2:44.535,6:06.263,6:43.370,7:16.047,49.596,164.535,366.263,403.37,436.047,"[49.596, 114.939, 201.72799999999998, 37.10700000000003, 32.67700000000002, 0.0, 0.0, 0.0, 0.0]",49.596,114.939,201.72799999999998,37.10700000000003,32.67700000000002,88,27,173,175,175,88,33,256,296,302,310,386.451,271.51200000000006,69.78400000000005,32.67700000000002,177,241,290,302
68,MARINI Hugo *,1,41.739,"['0:49.687', '27:00.954', '30:52.814', '31:25.944', '31:52.439']",0:49.687,27:00.954,30:52.814,31:25.944,31:52.439,49.687,1620.954,1852.814,1885.944,1912.439,"[49.687, 1571.267, 231.86000000000013, 33.12999999999988, 26.49500000000012]",49.687,1571.267,231.86000000000013,33.12999999999988,26.49500000000012,101,338,329,328,318,101,338,266,165,163,258,1862.7520000000002,291.4850000000001,59.625,26.49500000000012,318,250,161,163
68,MARINI Hugo *,2,35.644,"['0:48.514', '9:32.426', '18:12.565', '19:09.615', '19:44.377']",0:48.514,9:32.426,18:12.565,19:09.615,19:44.377,48.514,572.426,1092.565,1149.615,1184.377,"[48.514, 523.912, 520.139, 57.049999999999955, 34.761999999999944]",48.514,523.912,520.139,57.049999999999955,34.761999999999944,32,298,295,297,289,32,303,294,306,307,315,1135.863,611.9509999999999,91.8119999999999,34.761999999999944,290,279,298,307
