Number,Name,Run,Speed,Splits,Orig_Split_1_Time,Orig_Split_2_Time,Orig_Split_3_Time,Orig_Split_4_Time,Orig_Split_5_Time,Clean_Split_1_Time,Clean_Split_2_Time,Clean_Split_3_Time,Clean_Split_4_Time,Clean_Split_5_Time,Sector_Times,Sector_1_Time,Sector_2_Time,Sector_3_Time,Sector_4_Time,Sector_5_Time,Split_1_Rank,Split_2_Rank,Split_3_Rank,Split_4_Rank,Split_5_Rank,Sector_1_Rank,Sector_2_Rank,Sector_3_Rank,Sector_4_Rank,Sector_5_Rank,Speed_Rank,Cumulative_from_Split_1_Time,Cumulative_from_Split_2_Time,Cumulative_from_Split_3_Time,Cumulative_from_Split_4_Time,Cumulative_from_Split_1_Rank,Cumulative_from_Split_2_Rank,Cumulative_from_Split_3_Rank,Cumulative_from_Split_4_Rank
130,FERREIRA MARTINS Carlos David,2,47.714,"['0:37.233', '2:01.034', '5:50.086', '6:50.671', '7:28.909', '7:28.909', '7:28.909', '7:28.909', '7:28.909']",0:37.233,2:01.034,5:50.086,6:50.671,7:28.909,37.233,121.034,350.086,410.671,448.909,"[37.233, 83.80100000000002, 229.05200000000002, 60.58499999999998, 38.238, 0.0, 0.0, 0.0, 0.0]",37.233,83.80100000000002,229.05200000000002,60.58499999999998,38.238,259,184,180,161,153,259,199,245,216,295,371,411.676,327.875,98.82299999999998,38.238,159,186,203,295
130,FERREIRA MARTINS Carlos David,3,0.0,[],,,,,,,,,,,"[None, None, None, None, None]",,,,,,389,388,380,354,317,389,388,380,354,317,389,,,,,317,317,317,317
160,KVåLSETH Gabriel *,1,49.587,"['0:39.869', '6:00.454', '9:02.050', '9:58.621', '10:35.196']",0:39.869,6:00.454,9:02.050,9:58.621,10:35.196,39.869,360.454,542.05,598.621,635.196,"[39.869, 320.58500000000004, 181.59599999999995, 56.571000000000026, 36.575000000000045]",39.869,320.58500000000004,181.59599999999995,56.571000000000026,36.575000000000045,312,321,290,254,233,312,335,181,212,272,340,595.327,274.742,93.14600000000007,36.575000000000045,237,136,197,272
160,KVåLSETH Gabriel *,2,51.539,"['1:57.163', '3:18.131', '6:08.156', '6:53.496', '7:29.783', '7:29.783', '7:29.783', '7:29.783', '7:29.783']",1:57.163,3:18.131,6:08.156,6:53.496,7:29.783,117.163,198.131,368.156,413.496,449.783,"[117.163, 80.968, 170.025, 45.339999999999975, 36.287000000000035, 0.0, 0.0, 0.0, 0.0]",117.163,80.968,170.025,45.339999999999975,36.287000000000035,360,258,193,163,154,360,194,163,196,263,219,332.62,251.65200000000002,81.62700000000001,36.287000000000035,101,116,180,263
160,KVåLSETH Gabriel *,3,0.0,[],,,,,,,,,,,"[None, None, None, None, None]",,,,,,389,388,380,354,317,389,388,380,354,317,389,,,,,317,317,317,317
144,RAINIO Onni *,1,48.583,"['0:37.240', '1:31.807', '6:13.029', '6:55.408', '7:31.208']",0:37.240,1:31.807,6:13.029,6:55.408,7:31.208,37.24,91.807,373.029,415.408,451.20799999999997,"[37.24, 54.567, 281.222, 42.37900000000002, 35.799999999999955]",37.24,54.567,281.222,42.37900000000002,35.799999999999955,260,131,200,165,156,260,151,294,167,240,362,413.96799999999996,359.40099999999995,78.17899999999997,35.799999999999955,161,219,160,240
144,RAINIO Onni *,2,50.07,"['1:32.052', '6:11.124', '9:13.465', '12:12.737']",1:32.052,6:11.124,9:13.465,12:12.737,,92.05199999999999,371.124,553.465,732.737,,"[92.05199999999999, 279.072, 182.341, 179.27199999999993, None]",92.05199999999999,279.072,182.341,179.27199999999993,,356,328,295,287,317,356,325,184,306,317,323,,,,,317,317,317,317
144,RAINIO Onni *,3,50.562,"['0:36.260', '4:59.444', '10:33.939', '11:14.375', '11:49.990', '7:31.208', '7:31.208', '7:31.208', '7:31.208']",0:36.260,4:59.444,10:33.939,11:14.375,11:49.990,36.26,299.444,633.939,674.375,709.99,"[36.26, 263.184, 334.49499999999995, 40.436000000000035, 35.61500000000001, -258.78200000000004, 0.0, 0.0, 0.0]",36.26,263.184,334.49499999999995,40.436000000000035,35.61500000000001,215,302,315,275,249,215,318,319,128,228,284,673.73,410.546,76.05100000000004,35.61500000000001,256,239,129,228
77,ATWILL Philip,1,50.07,"['0:35.963', '1:28.371', '6:44.215', '7:23.621', '7:58.715']",0:35.963,1:28.371,6:44.215,7:23.621,7:58.715,35.963,88.371,404.21500000000003,443.621,478.71500000000003,"[35.963, 52.407999999999994, 315.84400000000005, 39.40599999999995, 35.09400000000005]",35.963,52.407999999999994,315.84400000000005,39.40599999999995,35.09400000000005,180,104,226,187,174,180,119,310,94,194,323,442.752,390.34400000000005,74.5,35.09400000000005,179,230,97,194
77,ATWILL Philip,2,50.526,"['1:41.695', '3:50.858', '6:07.044', '6:56.764', '7:31.980', '7:31.980', '7:31.980', '7:31.980', '7:31.980']",1:41.695,3:50.858,6:07.044,6:56.764,7:31.980,101.695,230.858,367.044,416.764,451.98,"[101.695, 129.163, 136.18599999999998, 49.72000000000003, 35.21600000000001, 0.0, 0.0, 0.0, 0.0]",101.695,129.163,136.18599999999998,49.72000000000003,35.21600000000001,358,274,192,167,157,358,254,121,202,206,286,350.285,221.122,84.93600000000004,35.21600000000001,110,87,185,206
77,ATWILL Philip,3,0.0,[],,,,,,,,,,,"[None, None, None, None, None]",,,,,,389,388,380,354,317,389,388,380,354,317,389,,,,,317,317,317,317
118,GRISEL Léo *,1,52.174,"['6:39.724', '9:26.554', '11:40.085', '12:19.338', '12:54.202']",6:39.724,9:26.554,11:40.085,12:19.338,12:54.202,399.724,566.554,700.085,739.338,774.202,"[399.724, 166.82999999999998, 133.53100000000006, 39.25299999999993, 34.86400000000003]",399.724,166.82999999999998,133.53100000000006,39.25299999999993,34.86400000000003,382,363,326,289,261,382,278,114,88,170,167,374.478,207.64800000000002,74.11699999999996,34.86400000000003,131,72,90,170
118,GRISEL Léo *,2,51.613,"['7:01.232', '7:35.342']",7:01.232,7:35.342,,,,421.232,455.342,,,,"[421.232, 34.10999999999996, None, None, None]",421.232,34.10999999999996,,,,384,345,380,354,317,384,1,380,354,317,211,,,,,317,317,317,317
