rank,protected,rider_number,name,team,uci_id,country,birth_year,speed_trap,speed_trap_rank,final_time,gap,points,split_1,split_1_rank,sector_1,split_2,split_2_rank,sector_2,split_3,split_3_rank,sector_3,split_4,split_4_rank,sector_4,sector_1_rank,sector_2_rank,sector_3_rank,sector_4_rank,sector_5,sector_5_rank
49,,75,MENOYO BUSQUETS Pau *,COMMENCAL / SCHWALBE,10079233725,ESP,2003,49.751,54,3:55.045,+11.223,-,0:43.322,81,00:43.322000,1:46.157,43,01:02.835000,2:30.773,34,00:44.616000,3:30.229,47,00:59.456000,79,21,26,82,00:24.816000,87
50,,65,VIEIRA Douglas,N/A,10010126679,BRA,1998,49.315,66,3:55.299,+11.477,-,0:42.037,33,00:42.037000,1:46.894,53,01:04.857000,2:33.081,57,00:46.187000,3:31.202,51,00:58.121000,32,62,65,63,00:24.097000,56
51,,57,SLACK Dan *,POLE FACTORY RACING,10088103464,GBR,2002,51.020,31,3:55.303,+11.481,-,0:43.407,82,00:43.407000,1:48.052,69,01:04.645000,2:33.500,61,00:45.448000,3:31.210,52,00:57.710000,80,54,45,55,00:24.093000,55
52,,68,BRAYTON Adam,BNC RACING,10005386110,GBR,1988,51.078,29,3:55.316,+11.494,-,0:42.425,52,00:42.425000,1:46.399,45,01:03.974000,2:32.606,52,00:46.207000,3:31.291,54,00:58.685000,51,47,67,73,00:24.025000,48
53,,100,LEHMANN Lino *,GAMUX FACTORY RACING,10094455247,SUI,2002,49.806,52,3:55.327,+11.505,-,0:42.667,63,00:42.667000,1:49.064,79,01:06.397000,2:35.185,77,00:46.121000,3:31.689,56,00:56.504000,62,83,60,32,00:23.638000,17
54,,72,PENE Tuhoto-Ariki,MS INTENSE RACING,10022183274,NZL,2001,50.934,35,3:55.335,+11.513,-,0:42.193,42,00:42.193000,1:47.278,61,01:05.085000,2:33.078,56,00:45.800000,3:30.789,50,00:57.711000,41,69,50,56,00:24.546000,78
55,,108,BRANNIGAN George,KENDA NS BIKES UR TEAM,10006834339,NZL,1992,49.696,56,3:56.068,+12.246,-,0:42.367,50,00:42.367000,1:47.256,59,01:04.889000,2:33.689,64,00:46.433000,3:31.326,55,00:57.637000,49,64,73,50,00:24.742000,83
56,,110,LANGEVIN Hugo,N/A,10008551037,CAN,1995,49.532,61,3:56.193,+12.371,-,0:43.966,93,00:43.966000,1:48.865,76,01:04.899000,2:35.019,75,00:46.154000,3:32.436,59,00:57.417000,91,65,63,49,00:23.757000,27
57,,122,EDMONDSON Jamie,BNC RACING,10023865620,GBR,2001,46.753,94,3:56.366,+12.544,-,0:42.119,38,00:42.119000,1:46.882,51,01:04.763000,2:33.610,63,00:46.728000,3:32.564,60,00:58.954000,37,60,80,81,00:23.802000,31
58,,137,MACDONALD Brook,FORBIDDEN SYNTHESIS TEAM,10006429969,NZL,1991,47.368,86,3:56.372,+12.550,-,0:42.766,66,00:42.766000,1:48.917,78,01:06.151000,2:35.560,79,00:46.643000,3:32.690,63,00:57.130000,65,80,76,45,00:23.682000,22
59,,55,KIEFER Henri *,CANYON CLLCTV PIRELLI,10080400048,GER,2005,49.559,59,3:56.623,+12.801,-,0:47.389,104,00:47.389000,1:50.815,92,01:03.426000,2:36.198,83,00:45.383000,3:32.739,65,00:56.541000,102,34,44,33,00:23.884000,38
60,,73,CASTELLANOS LIBERAL Daniel *,N/A,10081562028,ESP,2005,49.559,59,3:56.741,+12.919,-,0:43.574,89,00:43.574000,1:50.261,87,01:06.687000,2:36.555,87,00:46.294000,3:32.909,66,00:56.354000,87,85,72,27,00:23.832000,34
61,,88,MEDCALF Evan *,EVOLVE RACING,10117081004,USA,2005,48.518,78,3:56.747,+12.925,-,0:43.232,78,00:43.232000,1:49.168,82,01:05.936000,2:34.972,73,00:45.804000,3:32.683,62,00:57.711000,76,78,51,56,00:24.064000,52
62,,123,MASTERS Wyn,THE GRAVITY CARTEL - ROGUE RACING,10004406107,NZL,1987,48.309,81,3:56.781,+12.959,-,0:42.414,51,00:42.414000,1:48.133,70,01:05.719000,2:34.942,72,00:46.809000,3:32.648,61,00:57.706000,50,77,82,54,00:24.133000,60
63,,79,VIGE Gaëtan,PROPAIN POSITIVE,10009826989,FRA,1998,48.335,80,3:57.115,+13.293,-,0:43.845,92,00:43.845000,1:48.019,68,01:04.174000,2:34.521,68,00:46.502000,3:32.304,58,00:57.783000,90,49,74,58,00:24.811000,86
64,,49,INTROZZI Stefano,N/A,10032121027,ITA,2000,48.154,84,3:57.260,+13.438,-,0:42.251,45,00:42.251000,1:45.412,33,01:03.161000,2:30.651,32,00:45.239000,3:30.290,48,00:59.639000,44,28,36,83,00:26.970000,100
65,,85,PLATT Dom *,CONTINENTAL ATHERTON,10083936104,GBR,2005,48.728,73,3:57.309,+13.487,-,0:43.435,85,00:43.435000,1:48.517,74,01:05.082000,2:34.558,69,00:46.041000,3:32.717,64,00:58.159000,83,68,59,64,00:24.592000,79
66,,107,VERNON Taylor,ZERODE RACING,10008728667,GBR,1996,49.315,66,3:57.447,+13.625,-,0:42.927,69,00:42.927000,1:47.945,66,01:05.018000,2:35.000,74,00:47.055000,3:33.395,67,00:58.395000,68,67,86,67,00:24.052000,51
67,,129,DAILLY Adrien,N/A,10009562968,FRA,1996,50.000,47,3:57.533,+13.711,-,0:42.944,70,00:42.944000,1:48.513,73,01:05.569000,2:35.740,80,00:47.227000,3:33.441,68,00:57.701000,69,75,88,53,00:24.092000,54
68,,127,INIGUEZ Raphael *,COMMENCAL ICSTUDIO,10066506113,FRA,2003,48.622,74,3:57.648,+13.826,-,0:43.462,87,00:43.462000,1:48.369,72,01:04.907000,2:35.146,76,00:46.777000,3:33.850,71,00:58.704000,85,66,81,74,00:23.798000,30
69,,37,MEIER-SMITH Remy *,GIANT FACTORY OFF-ROAD TEAM - DH,10049212427,AUS,2004,49.127,70,3:57.695,+13.873,-,0:43.196,74,00:43.196000,1:48.913,77,01:05.717000,2:34.750,71,00:45.837000,3:33.671,70,00:58.921000,73,76,52,80,00:24.024000,47
70,,81,DICKSON Jacob,MS INTENSE RACING,10009453642,IRL,1997,47.393,85,3:57.805,+13.983,-,0:42.266,46,00:42.266000,1:46.961,55,01:04.695000,2:33.927,65,00:46.966000,3:31.942,57,00:58.015000,45,57,84,61,00:25.863000,97
71,,111,SHERRY Henry *,N/A,10079938791,CAN,2005,46.560,95,3:57.940,+14.118,-,0:43.008,72,00:43.008000,1:50.174,86,01:07.166000,2:36.879,89,00:46.705000,3:33.543,69,00:56.664000,71,92,79,35,00:24.397000,73
72,,91,GRICE Christopher *,GEN-S,10073483443,USA,2003,49.505,62,3:58.053,+14.231,-,0:43.196,74,00:43.196000,1:49.371,83,01:06.175000,2:35.515,78,00:46.144000,3:34.369,75,00:58.854000,73,81,62,79,00:23.684000,23
73,,103,MOLLOY Harry,CONTINENTAL GT RACING,10006816454,GBR,1991,50.992,32,3:58.303,+14.481,-,0:42.117,37,00:42.117000,1:49.064,79,01:06.947000,2:36.375,85,00:47.311000,3:34.069,73,00:57.694000,36,90,89,52,00:24.234000,64
74,,76,ERVIN Tyler *,N/A,10065700306,USA,2002,51.136,27,3:58.434,+14.612,-,0:43.415,83,00:43.415000,1:49.934,85,01:06.519000,2:36.063,82,00:46.129000,3:34.056,72,00:57.993000,81,84,61,60,00:24.378000,71
75,,142,ROGGE Antoine *,LAPIERRE ZIPP COLLECTIVE,10078163590,FRA,2002,46.973,90,3:58.630,+14.808,-,0:42.957,71,00:42.957000,1:47.667,64,01:04.710000,2:34.338,66,00:46.671000,3:34.323,74,00:59.985000,70,58,77,84,00:24.307000,68
76,,117,LALY Thibault,GOODMAN SANTACRUZ,10009533464,FRA,1997,49.834,51,3:59.041,+15.219,-,0:43.163,73,00:43.163000,1:49.165,81,01:06.002000,2:36.229,84,00:47.064000,3:34.747,77,00:58.518000,72,79,87,71,00:24.294000,65
77,,141,PATE Alden *,THE GRAVITY COLLECTIVE,10092538586,USA,2004,48.309,81,3:59.051,+15.229,-,0:43.593,90,00:43.593000,1:50.513,90,01:06.920000,2:36.786,88,00:46.273000,3:35.006,78,00:58.220000,88,89,71,66,00:24.045000,49
78,,140,MASTERS Edward,PIVOT FACTORY RACING,10005560003,NZL,1989,48.309,81,3:59.182,+15.360,-,0:42.744,64,00:42.744000,1:48.239,71,01:05.495000,2:35.936,81,00:47.697000,3:34.400,76,00:58.464000,63,74,91,69,00:24.782000,85
79,,109,THOMPSON Wilson,N/A,10054370908,CAN,2000,46.924,91,3:59.836,+16.014,-,0:43.989,94,00:43.989000,1:49.483,84,01:05.494000,2:36.460,86,00:46.977000,3:35.166,79,00:58.706000,92,73,85,75,00:24.670000,81
80,,118,STANTON Jed *,RAW FUSION RACING,10113898087,AUS,2005,48.518,78,4:00.285,+16.463,-,0:43.718,91,00:43.718000,1:50.630,91,01:06.912000,2:37.569,91,00:46.939000,3:35.983,80,00:58.414000,89,87,83,68,00:24.302000,67
81,,83,LAFFEY Patrick *,N/A,10061015812,CAN,2002,45.965,97,4:00.938,+17.116,-,0:44.123,95,00:44.123000,1:51.240,94,01:07.117000,2:37.180,90,00:45.940000,3:35.993,81,00:58.813000,93,91,54,78,00:24.945000,89
82,,120,MULALLY Neko,FRAMEWORKS RACING,10007287613,USA,1993,49.451,63,4:00.950,+17.128,-,0:42.519,55,00:42.519000,1:50.463,89,01:07.944000,2:38.009,92,00:47.546000,3:36.742,82,00:58.733000,54,94,90,76,00:24.208000,62
83,,96,ENNIS Ross,N/A,10016689741,IRL,2001,48.807,72,4:02.508,+18.686,-,0:44.340,96,00:44.340000,1:51.150,93,01:06.810000,2:39.396,94,00:48.246000,3:37.897,83,00:58.501000,94,86,95,70,00:24.611000,80
84,P,10,SHAW Luca,CANYON CLLCTV FACTORY TEAM,10008813442,USA,1996,52.662,5,4:02.514,+18.692,-,0:40.947,8,00:40.947000,1:43.618,11,01:02.671000,2:27.307,9,00:43.689000,3:37.994,84,01:10.687000,8,19,3,98,00:24.520000,77
85,,42,PONTVIANNE Nathan *,GOODMAN SANTACRUZ,10057982944,FRA,2005,49.779,53,4:02.756,+18.934,-,0:42.840,68,00:42.840000,1:47.486,62,01:04.646000,2:32.038,46,00:44.552000,3:38.706,85,01:06.668000,67,55,23,94,00:24.050000,50
86,,113,SUETOS Cole,N/A,10049899915,USA,2001,48.622,74,4:03.064,+19.242,-,0:44.468,97,00:44.468000,1:52.058,96,01:07.590000,2:39.937,95,00:47.879000,3:38.712,86,00:58.775000,95,93,92,77,00:24.352000,70
87,,71,HOLGUIN VILLA Sebastian *,PURERIDING BP RACING,10035267059,COL,2004,50.195,42,4:04.482,+20.660,-,0:42.831,67,00:42.831000,1:45.966,38,01:03.135000,2:31.329,41,00:45.363000,3:39.735,87,01:08.406000,66,27,43,97,00:24.747000,84
88,,133,GOODWILL Douglas *,TRIPLE FIVE RACING,10082199194,GBR,2004,43.774,101,4:04.850,+21.028,-,0:43.215,77,00:43.215000,1:51.976,95,01:08.761000,2:40.091,96,00:48.115000,3:40.154,88,01:00.063000,75,96,93,85,00:24.696000,82
89,,97,IRMISCH Erik,YT MOB,10003777425,GER,1988,47.294,87,4:05.467,+21.645,-,0:43.424,84,00:43.424000,1:50.339,88,01:06.915000,2:38.513,93,00:48.174000,3:40.990,89,01:02.477000,82,88,94,90,00:24.477000,74
