rank,protected,rider_number,name,team,uci_id,country,birth_year,speed_trap,speed_trap_rank,final_time,gap,points,split_1,split_1_rank,sector_1,split_2,split_2_rank,sector_2,split_3,split_3_rank,sector_3,split_4,split_4_rank,sector_4,sector_1_rank,sector_2_rank,sector_3_rank,sector_4_rank,sector_5,sector_5_rank
63,,93,LEVESQUE Dylan,SCOTT DOWNHILL FACTORY,10008831731,FRA,1996,56.118,14,3:11.909,+9.428,-,0:32.974,63,00:32.974000,1:20.813,68,00:47.839000,1:57.872,57,00:37.059000,2:38.338,62,00:40.466000,63,75,5,70,00:33.571000,76
64,,11,WILSON Reece,AON RACING - TOURNE CAMPERVANS,10009563271,GBR,1996,53.492,87,3:12.016,+9.535,-,0:36.658,98,00:36.658000,1:21.231,76,00:44.573000,2:00.266,79,00:39.035000,2:39.512,66,00:39.246000,97,6,85,51,00:32.504000,47
65,,84,PATE Alden *,N/A,10092538586,USA,2004,54.299,66,3:13.129,+10.648,-,0:33.444,73,00:33.444000,1:20.659,66,00:47.215000,1:59.000,67,00:38.341000,2:39.593,67,00:40.593000,72,67,50,73,00:33.536000,74
66,,118,CRUZ Lucas,NORCO RACE DIVISION,10051902761,CAN,2001,56.917,8,3:13.169,+10.688,-,0:34.231,87,00:34.231000,1:22.374,81,00:48.143000,1:59.388,71,00:37.014000,2:39.814,68,00:40.426000,86,77,4,69,00:33.355000,70
67,,64,A'HERN Kye,KENDA NS BIKES UR TEAM,10043853983,AUS,2001,55.901,20,3:13.302,+10.821,-,0:32.496,50,00:32.496000,1:19.200,54,00:46.704000,1:56.855,45,00:37.655000,2:39.997,71,00:43.142000,50,61,20,93,00:33.305000,69
68,,75,DICKSON Jacob,MS-RACING,10009453642,IRL,1997,55.470,33,3:13.313,+10.832,-,0:31.502,17,00:31.502000,1:16.307,11,00:44.805000,1:53.925,9,00:37.618000,2:41.264,78,00:47.339000,17,10,19,99,00:32.049000,26
69,,90,NEITZKE Matheus Braian,N/A,10091680946,BRA,1999,52.061,99,3:13.369,+10.888,-,0:33.862,79,00:33.862000,1:21.058,72,00:47.196000,1:59.123,69,00:38.065000,2:39.899,70,00:40.776000,78,66,37,76,00:33.470000,72
70,,102,ERVIN Tyler,N/A,10065700306,USA,2002,56.294,11,3:13.458,+10.977,-,0:33.370,70,00:33.370000,1:21.119,73,00:47.749000,1:58.719,65,00:37.600000,2:40.350,73,00:41.631000,70,74,18,84,00:33.108000,65
71,,116,HANDL Christoph *,N/A,10119752342,AUT,2003,54.504,60,3:13.896,+11.415,-,0:34.236,88,00:34.236000,1:21.603,78,00:47.367000,2:00.039,76,00:38.436000,2:40.791,75,00:40.752000,87,69,57,75,00:33.105000,64
72,,109,TIELENS Neo *,N/A,10065146800,BEL,2006,54.095,72,3:14.131,+11.650,-,0:33.547,77,00:33.547000,1:21.006,71,00:47.459000,1:59.864,74,00:38.858000,2:40.193,72,00:40.329000,76,71,77,66,00:33.938000,80
