rank,protected,rider_number,name,team,uci_id,country,birth_year,speed_trap,speed_trap_rank,final_time,gap,points,split_1,split_1_rank,sector_1,split_2,split_2_rank,sector_2,split_3,split_3_rank,sector_3,split_4,split_4_rank,sector_4,sector_1_rank,sector_2_rank,sector_3_rank,sector_4_rank,sector_5,sector_5_rank
110,,105,THURLOW Luca *,TRIPLE FIVE RACING,10083936205,GBR,2005,54.014,72,4:24.914,+35.496,-,1:00.286,146,01:00.286000,2:10.544,130,01:10.258000,3:06.979,120,00:56.435000,3:47.279,113,00:40.300000,139,116,98,101,00:37.635000,66
111,,155,RILAT Emile,N/A,10066346465,FRA,2001,51.082,125,4:25.263,+35.845,-,0:52.743,105,00:52.743000,2:01.110,101,01:08.367000,3:03.627,113,01:02.517000,3:45.017,110,00:41.390000,101,96,123,108,00:40.246000,119
112,,152,SIRIEIX Florian *,N/A,10075215602,FRA,2003,49.793,131,4:25.996,+36.578,-,0:54.118,126,00:54.118000,2:05.896,122,01:11.778000,3:04.875,116,00:58.979000,3:45.813,111,00:40.938000,122,120,113,105,00:40.183000,118
113,,148,PAJaK Jan *,N/A,10107271977,POL,2005,51.986,113,4:26.639,+37.221,-,0:53.528,117,00:53.528000,2:05.347,119,01:11.819000,3:03.179,112,00:57.832000,3:46.877,112,00:43.698000,113,121,105,126,00:39.762000,110
114,,115,PAROZ Junior,N/A,10013451961,SUI,1994,50.901,127,4:27.236,+37.818,-,0:52.894,108,00:52.894000,2:04.211,117,01:11.317000,3:04.522,115,01:00.311000,3:47.715,115,00:43.193000,104,119,121,125,00:39.521000,107
115,,190,CONTE Dylan,N/A,10008180316,USA,1993,52.231,110,4:27.819,+38.401,-,0:55.196,133,00:55.196000,2:06.508,125,01:11.312000,3:05.392,117,00:58.884000,3:47.481,114,00:42.089000,128,118,111,114,00:40.338000,121
116,,139,COUTTS Darcy,N/A,10011106884,AUS,1999,49.349,134,4:28.422,+39.004,-,0:53.732,120,00:53.732000,2:06.465,124,01:12.733000,3:06.328,119,00:59.863000,3:49.499,116,00:43.171000,116,125,118,124,00:38.923000,99
117,,108,HAGUCHI Tetsuma *,N/A,10082525055,JPN,2003,49.948,130,4:31.313,+41.895,-,0:54.584,127,00:54.584000,2:09.327,128,01:14.743000,3:08.620,121,00:59.293000,3:51.695,118,00:43.075000,123,128,115,123,00:39.618000,108
118,,177,LEES Elliot,K BIKE,10013160052,GBR,1994,52.709,102,4:32.034,+42.616,-,0:54.724,128,00:54.724000,2:06.711,126,01:11.987000,3:05.747,118,00:59.036000,3:49.609,117,00:43.862000,124,123,114,127,00:42.425000,133
119,,131,TELL SANCHEZ Dani,N/A,10015014469,ESP,1998,48.896,136,4:32.629,+43.211,-,0:56.197,134,00:56.197000,2:10.469,129,01:14.272000,3:10.315,123,00:59.846000,3:52.561,119,00:42.246000,129,127,117,116,00:40.068000,115
