rank,protected,rider_number,name,team,uci_id,country,birth_year,speed_trap,speed_trap_rank,final_time,gap,points,split_1,split_1_rank,sector_1,split_2,split_2_rank,sector_2,split_3,split_3_rank,sector_3,split_4,split_4_rank,sector_4,sector_1_rank,sector_2_rank,sector_3_rank,sector_4_rank,sector_5,sector_5_rank
11,,12,PINKERTON Ryan *,MONDRAKER FACTORY RACING DH,10063826182,USA,2005,60.134,19,3:45.224,+3.003,14,0:43.460,14,00:43.460000,1:42.582,15,00:59.122000,2:27.871,15,00:45.289000,3:00.651,13,00:32.780000,13,19,13,5,00:44.573000,11
12,,26,HATTON Charlie,CONTINENTAL ATHERTON,10009897014,GBR,1998,59.493,23,3:45.285,+3.064,13,0:43.871,24,00:43.871000,1:42.148,10,00:58.277000,2:27.185,10,00:45.037000,3:00.408,10,00:33.223000,23,3,8,12,00:44.877000,19
13,,27,MEIER-SMITH Luke,GIANT FACTORY OFF-ROAD TEAM - DH,10049212326,AUS,2002,61.832,5,3:45.380,+3.159,12,0:42.992,5,00:42.992000,1:41.654,5,00:58.662000,2:26.110,2,00:44.456000,2:59.043,1,00:32.933000,5,9,1,7,00:46.337000,54
14,,8,DUNNE Ronan,MONDRAKER FACTORY RACING DH,10017006104,IRL,2002,58.044,50,3:45.937,+3.716,11,0:43.947,27,00:43.947000,1:42.853,19,00:58.906000,2:28.602,17,00:45.749000,3:01.872,15,00:33.270000,26,15,22,13,00:44.065000,7
15,,30,PALAZZARI Davide,ROGUE RACING - SR SUNTOUR,10010022205,ITA,1995,60.290,16,3:46.397,+4.176,10,0:43.645,17,00:43.645000,1:43.319,21,00:59.674000,2:28.984,18,00:45.665000,3:02.124,16,00:33.140000,16,24,21,10,00:44.273000,8
16,,46,CHAPELET Simon,ROGUE RACING - SR SUNTOUR,10071553749,FRA,2002,57.713,56,3:46.859,+4.638,9,0:44.306,41,00:44.306000,1:44.790,37,01:00.484000,2:30.039,25,00:45.249000,3:03.414,22,00:33.375000,40,35,12,21,00:43.445000,2
17,,37,INTROZZI Stefano,N/A,10032121027,ITA,2000,61.950,4,3:46.985,+4.764,8,0:43.490,15,00:43.490000,1:42.485,14,00:58.995000,2:28.358,16,00:45.873000,3:01.461,14,00:33.103000,14,16,24,9,00:45.524000,41
18,,38,VIEIRA Roger,N/A,10009164258,BRA,1994,57.692,58,3:47.063,+4.842,7,0:44.072,32,00:44.072000,1:44.198,30,01:00.126000,2:29.573,22,00:45.375000,3:03.015,19,00:33.442000,31,30,16,22,00:44.048000,6
19,,21,HARTENSTERN Max,CUBE FACTORY RACING,10011213584,GER,1999,59.319,25,3:47.755,+5.534,6,0:44.227,36,00:44.227000,1:43.680,24,00:59.453000,2:29.575,23,00:45.895000,3:02.923,17,00:33.348000,35,22,26,19,00:44.832000,18
20,,69,DICKSON Jacob,MS-RACING,10009453642,IRL,1997,58.315,45,3:48.005,+5.784,5,0:44.236,38,00:44.236000,1:43.049,20,00:58.813000,2:29.289,19,00:46.240000,3:02.983,18,00:33.694000,37,12,34,27,00:45.022000,27
21,,81,MARINI Hugo *,SCOTT DOWNHILL FACTORY,10072798379,FRA,2005,61.574,8,3:48.272,+6.051,-,0:43.703,19,00:43.703000,1:43.661,23,00:59.958000,2:29.832,24,00:46.171000,3:03.606,23,00:33.774000,18,28,31,30,00:44.666000,15
22,,95,MUÑOZ Fernando Juan *,AXESS INTENSE FACTORY RACING,10083364208,COL,2003,58.845,33,3:48.364,+6.143,-,0:43.948,28,00:43.948000,1:43.860,26,00:59.912000,2:29.290,20,00:45.430000,3:03.278,21,00:33.988000,27,27,19,39,00:45.086000,28
